Game,Prisoner 1 Response,Prisoner 2 Response,Sentence
1,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
2,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
3,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
4,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
5,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
6,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
7,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
8,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
9,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
10,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
11,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
12,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
13,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
14,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
15,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
16,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
17,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
18,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
19,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
20,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
21,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
22,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
23,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
24,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
25,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
26,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
27,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
28,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
29,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
30,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
31,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
32,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
33,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
34,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
35,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
36,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
37,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
38,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
39,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
40,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
41,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
42,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
43,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
44,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
45,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
46,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
47,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
48,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
49,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
50,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
51,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
52,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
53,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
54,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
55,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
56,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
57,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
58,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
59,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
60,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
61,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
62,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
63,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
64,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
65,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
66,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
67,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
68,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
69,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
70,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
71,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
72,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
73,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
74,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
75,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
76,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
77,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
78,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
79,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
80,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
81,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
82,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
83,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
84,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
85,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
86,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
87,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
88,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
89,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
90,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
91,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
92,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
93,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
94,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
95,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
96,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
97,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
98,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
99,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
100,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
101,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
102,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
103,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
104,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
105,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
106,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
107,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
108,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
109,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
110,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
111,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
112,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
113,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
114,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
115,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
116,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
117,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
118,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
119,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
120,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
121,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
122,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
123,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
124,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
125,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
126,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
127,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
128,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
129,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
130,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
131,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
132,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
133,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
134,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
135,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
