Game,Prisoner 1 Response,Prisoner 2 Response,Sentence
1,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
2,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
3,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
4,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
5,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
6,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
7,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
8,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
9,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
10,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
11,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
12,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
13,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
14,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
15,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
16,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
17,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
18,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
19,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
20,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
21,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
22,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
23,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
24,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
25,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
26,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
27,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
28,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
29,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
30,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
31,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
32,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
33,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
34,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
35,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
36,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
37,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
38,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
39,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
40,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
41,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
42,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
43,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
44,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
45,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
46,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
47,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
48,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
49,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
50,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
51,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
52,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
53,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
54,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
55,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
56,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
57,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
58,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
59,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
60,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
61,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
62,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
63,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
64,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
65,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
66,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
67,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
68,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
69,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
70,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
71,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
72,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
73,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
74,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
75,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
76,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
77,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
78,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
79,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
80,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
81,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
82,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
83,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
84,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
85,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
86,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
87,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
88,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
89,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
90,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
91,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
92,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
93,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
94,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
95,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
96,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
97,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
98,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
99,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
100,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
101,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
102,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
103,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
104,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
105,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
106,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
107,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
108,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
109,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
110,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
111,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
112,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
113,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
114,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
115,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
116,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
117,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
118,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
119,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
120,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
121,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
122,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
123,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
124,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
125,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
126,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
127,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
128,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
129,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
130,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
131,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
132,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
133,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
134,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
135,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
136,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
137,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
138,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
139,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
140,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
141,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
142,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
143,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
144,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
145,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
146,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
147,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
148,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
149,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
150,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
151,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
152,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
153,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
154,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
155,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
156,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
157,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
158,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
159,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
160,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
161,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
162,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
163,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
164,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
165,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
166,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
167,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
168,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
169,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
170,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
171,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
172,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
173,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
174,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
175,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
176,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
177,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
178,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
179,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
180,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
181,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
182,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
183,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
184,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
185,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
186,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
187,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
188,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
189,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
190,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
191,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
192,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
