Game,Prisoner 1 Response,Prisoner 2 Response,Sentence
1,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
2,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
3,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
4,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
5,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
6,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
7,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
8,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
9,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
10,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
11,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
12,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
13,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
14,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
15,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
16,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
17,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
18,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
19,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
20,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
21,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
22,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
23,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
24,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
25,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
26,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
27,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
28,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
29,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
30,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
31,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
32,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
33,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
34,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
35,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
36,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
37,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
38,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
39,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
40,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
41,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
42,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
43,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
44,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
45,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
46,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
47,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
48,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
49,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
50,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
51,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
52,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
53,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
54,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
55,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
56,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
57,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
58,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
59,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
60,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
61,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
62,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
63,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
64,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
65,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
66,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
67,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
68,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
69,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
70,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
71,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
72,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
73,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
74,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
75,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
76,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
77,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
78,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
79,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
80,Cooperate,Cooperate,Both prisoners are sentenced to 1 year(s) in prison
81,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
82,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
83,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
84,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
85,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
86,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
87,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
88,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
89,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
90,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
91,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
92,Betray,Cooperate,Prisoner 1 is sentenced to 0 and prisoner 2 is sentenced to 3 year(s) in prison
93,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
94,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
95,Cooperate,Betray,Prisoner 1 is sentenced to 3 and prisoner 2 is sentenced to 0 year(s) in prison
96,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
97,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
98,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
99,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
100,Betray,Betray,Both prisoners are sentenced to 2 year(s) in prison
